#{"t_start": 1759412282.3366299, "env_id": "LunarLander-v3"}
r,l,t
-175.933059,79,0.071661
-128.544261,78,0.121022
-167.612774,123,0.194458
-340.186682,82,0.237036
-116.683507,79,0.268062
-175.756085,94,0.571501
-672.410366,101,0.628504
-458.446892,76,0.671999
-594.449262,115,0.739354
-753.408546,138,0.802143
-656.362224,94,1.075458
-547.66515,81,1.124753
-1170.674461,176,1.228127
-686.822711,105,1.282174
-2645.803529,275,1.63792
-860.250985,128,1.701011
-385.017994,76,1.738594
-480.744131,73,1.770322
-599.874544,83,2.047358
-1117.747341,150,2.132329
-745.605827,116,2.197432
-727.129245,122,2.262392
-424.85539,72,2.296249
-584.809607,87,2.579431
-523.920584,89,2.624585
-936.30093,128,2.690197
-773.08795,110,2.760371
-1591.392988,240,3.107606
-963.917488,155,3.190784
-798.78999,139,3.265301
-939.648058,137,3.561832
-411.564872,76,3.607905
-592.28235,96,3.658277
-724.740602,119,3.723039
-375.685876,78,3.756742
-662.495002,90,3.806691
-641.337742,93,4.073667
-640.495862,100,4.125485
-511.983151,108,4.189727
-2075.307775,235,4.309831
-2766.562966,281,4.676176
-677.203994,95,4.735258
-689.389141,105,4.789426
-435.144121,83,5.071625
-463.163874,111,5.126837
-619.780194,87,5.180835
-590.319161,107,5.241348
-445.44242,75,5.275671
-641.96703,80,5.31795
-575.747833,81,5.628697
-790.914931,127,5.69825
-453.986976,85,5.744901
-554.741708,116,5.805198
-2302.09383,248,6.145262
-443.487992,74,6.196474
-626.367096,102,6.25527
-532.71099,99,6.305765
-977.983035,136,6.660391
-1923.966383,241,6.796862
-524.788222,89,6.846272
-584.81959,72,6.879619
-767.202616,104,7.227872
-580.598162,88,7.275756
-3188.017797,325,7.447601
-615.347134,95,7.716941
-695.011339,109,7.778525
-606.414635,125,7.847814
-569.105087,105,7.908471
-848.875473,118,7.968149
-484.570106,90,8.250529
-814.605197,112,8.310922
-537.374528,87,8.360892
-828.672801,119,8.42574
-675.742377,105,8.464258
-775.394763,107,8.817809
-420.983002,84,8.852748
-719.684571,123,8.925612
-598.970787,73,8.968518
-1358.677288,185,9.285414
-754.754866,121,9.352798
-1007.638899,185,9.456047
-596.175999,119,9.520968
-1076.126851,156,9.858166
-529.502092,88,9.911122
-775.645381,163,10.005374
-581.588595,75,10.043439
-986.990656,136,10.359225
-446.826602,97,10.409913
-665.80894,100,10.462626
-1863.287834,244,10.583741
-559.635712,78,10.878247
-4470.039053,403,11.084895
-632.43803,105,11.404491
-575.217438,105,11.464968
-423.185456,103,11.524975
-1189.718793,186,11.625713
-652.959561,93,11.915772
-557.382261,74,11.958781
-478.095365,78,12.00539
-620.277057,108,12.064762
-399.367351,85,12.114046
-2081.367693,261,12.486001
-405.072692,83,12.547747
-464.356583,79,12.593055
-817.69522,117,12.654871
-581.032581,96,12.699587
-672.446325,109,12.99647
-826.167574,110,13.057076
-696.193299,88,13.109743
-563.901904,78,13.152585
-450.453048,77,13.188003
-462.118052,100,13.490885
-615.254651,106,13.553632
-728.337672,120,13.618843
-693.708021,93,13.662954
-418.478814,90,13.708379
-737.182973,102,13.99375
-465.031876,86,14.03832
-605.735442,120,14.100361
-598.539613,75,14.143414
-1948.737911,220,14.479759
-698.228247,120,14.553354
-775.338725,112,14.616382
-610.562261,85,14.661682
-843.912492,126,14.724968
-627.26922,99,15.006592
-733.619464,120,15.07958
-593.974194,85,15.131383
-1947.656815,278,15.506539
-583.24715,83,15.546458
-1039.038091,159,15.64766
-705.076131,130,15.721159
-1050.983349,140,16.05122
-1045.777781,188,16.16736
-1294.690504,204,16.269975
-769.847549,103,16.575532
-717.384122,109,16.637597
-743.815618,107,16.70033
-471.736858,102,16.757681
-632.407198,104,16.814078
-600.507085,97,17.105652
-910.063051,139,17.187363
-589.944227,78,17.230393
-613.024207,78,17.272869
-393.461883,80,17.316099
-2848.368381,280,17.706698
-574.728803,78,17.750573
-597.158783,78,17.795147
-594.178064,89,17.841002
-540.91207,101,17.883436
-1046.693346,147,18.216805
-596.733164,87,18.270341
-1183.034559,149,18.349528
-947.883592,163,18.678404
-454.345979,80,18.72472
-525.900358,81,18.76715
-551.7007,109,18.830011
-1786.463478,243,19.28492
-573.160562,78,19.331294
-566.153945,81,19.384936
-447.470284,79,19.436939
-901.473604,121,19.504161
-655.377498,89,19.548352
-434.62554,84,19.853504
-569.971432,89,19.909035
-410.355807,89,19.950497
-554.397235,86,20.012183
-1258.100958,159,20.090844
-543.842153,82,20.393279
-1260.258335,202,20.52018
-557.060108,72,20.564915
-611.519929,89,20.61132
-689.546323,90,20.652227
-5022.064564,424,21.185704
-469.7461,87,21.233546
-616.614454,78,21.503308
-587.102052,72,21.551979
-921.054409,134,21.631756
-510.502069,110,21.692624
-477.229503,84,21.738192
-1240.04593,157,22.074365
-568.742069,118,22.13991
-753.466184,101,22.20194
-1784.618212,198,22.828748
-705.279005,103,22.89667
-775.252858,124,22.976447
-588.256165,89,23.032205
-609.384486,86,23.089561
-625.110394,92,23.142703
-693.088939,97,23.450981
-568.111644,84,23.500576
-670.382848,97,23.555442
-502.871737,81,23.603075
-514.375729,99,23.649388
-714.875678,88,23.926179
-563.543087,75,23.965296
-567.685657,83,24.00766
-616.636056,90,24.068677
-874.404832,131,24.14373
-1903.31232,231,24.573717
-1110.1549,147,24.666224
-610.257445,101,24.713072
-1498.817548,204,25.057698
-980.813215,144,25.127255
-1960.912427,225,25.254766
-748.12815,120,25.551529
-774.304351,128,25.629895
-919.101356,163,25.727961
-1350.966775,180,25.812998
-466.390368,87,26.095702
-722.945798,161,26.198906
