#{"t_start": 1759395476.0053387, "env_id": "LunarLander-v3"}
r,l,t
-415.718899,102,0.333145
-54.465285,124,0.62339
-129.406835,108,0.865068
-94.176818,66,1.007417
-204.706575,103,1.242913
-76.536497,66,1.382307
-375.3576,115,1.6416
-265.875306,98,1.861024
-143.864803,79,2.035979
-132.86409,80,2.211309
-18.8617,104,2.435874
-234.820218,84,2.621088
-91.355042,76,2.793349
-62.390562,116,3.047878
-118.383142,143,3.363173
-305.734908,75,3.532456
-514.136051,96,3.74105
-124.051788,99,3.949328
-120.518247,106,4.180872
-62.354509,76,4.344706
-101.241889,65,4.493803
-326.888937,79,4.664208
-273.429515,116,4.927823
-74.640979,93,5.138578
-80.123278,64,5.283468
-94.228745,70,5.419921
-321.349359,105,5.649865
-117.028976,80,5.825801
-326.859509,97,6.051152
-321.581397,86,6.22857
-80.008331,67,6.378215
-96.455696,128,6.656075
-312.360241,95,6.869251
-138.336637,85,7.049724
-172.495745,68,7.211004
-192.021827,70,7.36003
-229.090556,99,7.588564
-105.842877,63,7.727015
-185.501016,106,7.963224
-105.855708,84,8.151445
-82.974396,63,8.298514
-144.334144,78,8.477213
-96.545646,101,8.70607
-300.823944,124,8.978611
-168.224473,71,9.14099
-108.205652,79,9.319891
-333.024292,120,9.616079
-111.393728,91,9.843463
-103.83429,80,10.097079
-143.749177,96,10.36607
-143.054775,86,10.610231
-125.033452,81,10.844274
-144.304416,85,11.073241
-171.362964,107,11.367772
-90.328407,86,11.593011
-214.217467,67,11.781378
-202.151836,104,12.071425
-84.153502,72,12.282893
-93.681882,79,12.497247
-456.665426,100,12.832913
-161.880329,131,13.213091
-163.714792,106,13.492022
-113.85068,114,13.752267
-86.42022,122,14.11277
-82.0619,66,14.314824
-191.320479,71,14.52173
-205.803232,72,14.735223
-68.285394,71,14.925905
-142.771191,74,15.099493
-185.945554,104,15.350289
-213.504426,116,15.621953
-207.532298,125,15.918196
-141.574893,105,16.178276
-198.406002,67,16.370643
-95.520848,87,16.626153
-105.799442,93,16.884969
-198.63791,130,17.27417
-270.928535,116,17.612067
-126.84846,83,17.828044
-27.80187,105,18.104881
-309.668172,114,18.363899
-295.654864,110,18.616421
-108.713619,88,18.826007
-114.981737,80,19.006281
-116.90577,104,19.260278
-101.79287,76,19.445129
-146.587835,116,19.709266
-95.449889,69,19.905191
-91.875639,77,20.119184
-85.946308,64,20.308416
-276.952852,100,20.610176
-46.146962,70,20.809701
-112.91371,125,21.166456
-199.686161,121,21.489106
-382.404716,89,21.741423
-217.375569,87,21.981641
-139.295219,82,22.199528
-84.045188,64,22.427691
-246.933782,88,22.736103
-67.416045,79,22.969362
-116.557138,99,23.277156
-426.096015,101,23.575482
-373.833605,110,23.924891
-162.422186,86,24.170927
-73.407432,138,24.580584
-85.942351,63,24.737407
-267.1368,92,24.99768
-98.921942,102,25.300361
-45.366578,105,25.619633
-256.827472,135,25.941924
-54.416402,80,26.130114
-66.556844,96,26.362229
-85.650152,74,26.573232
-118.323948,84,26.788868
-53.685791,71,26.998549
-211.135031,81,27.200343
-392.176757,112,27.522855
-72.886366,73,27.700458
-81.038558,68,27.885603
-309.321463,97,28.136442
-457.617677,133,28.489955
-169.226312,106,28.753651
-68.949198,79,28.985002
-74.152034,80,29.22667
-105.694398,109,29.536284
-101.615438,103,29.77436
-140.877854,121,30.073712
-343.269758,150,30.422777
-51.847829,142,30.768605
-77.251432,87,30.973455
-89.386926,84,31.159935
-112.65976,109,31.431639
-206.149205,123,31.710691
-97.296151,82,31.916464
-182.281006,64,32.067477
-151.329423,77,32.248408
-83.330188,136,32.560533
-140.167519,85,32.760856
-235.158333,75,32.936513
-64.930598,67,33.106589
-65.176407,85,33.315768
-74.972914,100,33.55265
-100.844312,86,33.764822
-118.067458,96,34.002882
50.017927,1000,36.492692
-120.968915,108,36.754885
-142.521932,119,37.033768
-116.672681,66,37.19876
-97.519707,70,37.352532
-149.231373,68,37.515677
0.390562,113,37.776973
-264.454678,66,37.928873
-155.60804,90,38.144903
-123.259828,78,38.326509
-357.984652,75,38.523029
-266.547525,98,38.820744
-139.7752,107,39.079065
-147.205476,109,39.330229
-170.106992,96,39.555034
-68.852629,79,39.741005
-93.236034,69,39.906562
-72.97064,116,40.192688
-206.10233,96,40.420554
-197.208386,102,40.654173
-48.963634,101,40.879431
-85.752637,100,41.109073
-90.834351,113,41.368891
-130.483773,96,41.598403
-130.66267,76,41.762968
-109.260233,113,42.036971
-78.578162,80,42.230718
-99.89672,123,42.50052
-104.755568,95,42.708502
-138.743492,63,42.850278
-44.471708,108,43.109482
-78.237601,60,43.240912
-69.486558,122,43.509029
-83.419349,84,43.69897
-92.507516,124,43.972691
-111.099472,72,44.137055
-79.169379,126,44.42714
-119.753142,103,44.67016
-106.092532,104,44.912124
-33.324355,115,45.170209
-179.577264,94,45.378953
-131.37577,106,45.621832
-165.922689,88,45.828077
-82.013253,85,46.028215
-69.567353,92,46.239944
-46.346533,65,46.389325
-102.377709,76,46.558415
-77.893738,64,46.706739
