#{"t_start": 1759397050.241813, "env_id": "LunarLander-v3"}
r,l,t
-244.068835,127,0.17705
-92.040289,78,0.22135
-383.835876,112,0.278123
-114.475554,78,0.309824
-398.586944,90,0.361304
-253.590194,76,0.396143
-88.594945,124,0.459815
-219.215697,119,0.516058
-262.788301,78,0.550918
-142.485319,82,0.59544
-190.175395,131,0.660707
-30.900841,92,0.709746
-93.519559,67,0.742285
-342.440802,97,0.790224
-152.889666,77,0.83028
-217.719136,123,0.890026
-92.290361,107,0.944135
-231.90021,95,0.990154
-201.479985,142,1.06026
-180.41849,116,1.111006
-177.245315,128,2.269906
-320.728101,85,2.328148
-74.248594,134,2.412896
-93.020749,66,2.451994
-160.383056,96,2.500144
-417.845247,116,2.56006
-154.692389,107,2.613156
-90.819617,74,2.655025
-121.241761,122,2.713492
-267.904097,122,2.778805
-134.995848,106,2.830169
-109.290135,79,2.870155
-143.732498,68,2.905091
-103.874636,94,2.949855
-123.834731,65,2.984133
-161.802008,102,3.033428
-47.203381,75,3.070243
-83.273272,119,3.130769
-348.402826,86,3.172807
-213.747112,110,3.224328
-325.284309,88,3.270186
-341.994264,105,4.35016
-134.930521,74,4.399266
-123.176242,81,4.445128
-193.593009,83,4.489899
-154.782016,136,4.560296
-164.880849,82,4.600131
-267.367658,85,4.644937
-48.617744,71,4.682901
-147.618841,86,4.725903
-103.810751,59,4.749893
-113.640113,90,4.80011
-195.884334,87,4.840083
-79.944545,73,4.873005
-30.584008,130,4.940105
-104.477277,105,4.994994
-212.712355,134,5.06008
-123.706458,88,5.100289
-47.440336,63,5.136639
-338.410023,120,5.194954
-170.225298,135,5.260105
-73.927217,73,5.29002
-177.796979,86,5.335831
-134.667962,124,6.510161
-164.019976,106,6.570031
-99.673726,63,6.602687
-64.831642,71,6.649976
-203.017515,121,6.710165
-301.640569,155,6.786379
-96.385925,108,6.840331
-87.632154,70,6.876205
-264.095411,111,6.930179
-81.641835,64,6.962811
-107.695981,73,6.990528
-113.748242,90,7.042765
-295.531758,121,7.105187
-240.547289,98,7.153418
-75.557014,80,7.192894
-128.22876,91,7.237122
-80.357171,61,7.269018
-102.744277,122,7.320335
-92.602258,84,7.369844
-193.893803,106,7.423393
-75.83944,71,7.455883
-209.228157,88,7.500139
-120.991073,94,8.610377
-79.870806,64,8.641394
-151.957647,90,8.695269
-82.706215,73,8.735585
-106.242116,72,8.774478
-152.62174,128,8.840461
-58.448934,79,8.880239
-150.56472,84,8.925659
-72.901742,75,8.961359
-124.655531,82,9.000436
-88.025371,80,9.045244
-201.634556,127,9.111683
-75.705798,127,9.173305
-177.589738,116,9.234543
-127.611349,106,9.327002
-173.100252,133,9.400074
-46.752883,65,9.442742
-116.237432,92,9.492784
-109.66229,89,9.539892
-82.377091,68,9.575515
-298.860577,93,9.620504
-544.545659,159,10.845951
-47.558754,148,10.930176
-123.098688,114,11.000239
-412.081259,164,11.090115
-127.664606,126,11.150272
-313.354767,112,11.210064
-109.457466,153,11.288303
-121.88638,109,11.344365
-86.578192,84,11.38044
-407.214716,95,11.432907
-163.128324,119,11.490443
-172.126388,97,11.540522
-88.273917,136,11.612209
-109.215894,69,11.647118
-146.137055,98,11.697482
-141.989337,115,11.752092
-106.50272,127,11.820505
-65.373515,79,11.861991
-97.419324,194,13.110251
-25.920177,82,13.155373
-150.670161,224,13.278894
-266.328641,130,13.340521
-120.734271,89,13.38184
-110.84023,124,13.450298
-93.573119,72,13.481729
-92.603996,124,13.547328
-82.952233,89,13.590155
-238.426602,135,13.660238
-157.296987,137,13.725163
